Statistic,Quarter,Sector,value
Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Other Building and Construction,3254
Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Transfer Costs,539
Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Machinery and Equipment,1256
Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,288
Expenditure on GNP at Constant Market Prices,2002Q4,Gross domestic fixed capital formation - Intangible Assets,1831
Expenditure on GNP at Constant Market Prices,2002Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2002Q4,Value of Physical Changes in Stocks,394
Expenditure on GNP at Constant Market Prices,2002Q4,Exports of Goods and Services (excluding Factor Income Flows),34618
Expenditure on GNP at Constant Market Prices,2002Q4,Imports of Goods and Services (excluding Factor Income Flows),-30748
Expenditure on GNP at Constant Market Prices,2002Q4,Gross Domestic Product at Market Prices,43884
Expenditure on GNP at Constant Market Prices,2002Q4,Net Factor Income from the Rest of the World,-6564
Expenditure on GNP at Constant Market Prices,2002Q4,Gross National Product at Market Prices,37382
Expenditure on GNP at Constant Market Prices,2002Q4,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2002Q4,Export of Goods (excluding Factor Income Flows),19055
Expenditure on GNP at Constant Market Prices,2002Q4,Import of Goods (excluding Factor Income Flows),-13793
Expenditure on GNP at Constant Market Prices,2002Q4,Export of Services (excluding Factor Income Flows),13870
Expenditure on GNP at Constant Market Prices,2002Q4,Import of Services (excluding Factor Income Flows),-16298
Expenditure on GNP at Constant Market Prices,2002Q4,Final Domestic Demand,37867
Expenditure on GNP at Constant Market Prices,2002Q4,Total Domestic Demand,38055
Expenditure on GNP at Constant Market Prices,2003Q1,Personal Expenditure on Consumer Goods and Services,19439
Expenditure on GNP at Constant Market Prices,2003Q1,Household & NPISH Final Consumption Expenditure,18725
Expenditure on GNP at Constant Market Prices,2003Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7037
Expenditure on GNP at Constant Market Prices,2003Q1,General Government Expenditure on Goods & Services provided to Households,5161
Expenditure on GNP at Constant Market Prices,2003Q1,General Government Collective Consumption Expenditure,2584
Expenditure on GNP at Constant Market Prices,2003Q1,General Government Final Consumption Expenditure,7744
Expenditure on GNP at Constant Market Prices,2003Q1,Gross Domestic Fixed Capital Formation,9965
Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Dwellings,2347
Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Improvements,794
Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Other Building and Construction,2656
Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Transfer Costs,685
Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Machinery and Equipment,2188
Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,422
Expenditure on GNP at Constant Market Prices,2003Q1,Gross domestic fixed capital formation - Intangible Assets,1396
Expenditure on GNP at Constant Market Prices,2003Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2003Q1,Value of Physical Changes in Stocks,280
Expenditure on GNP at Constant Market Prices,2003Q1,Exports of Goods and Services (excluding Factor Income Flows),32178
Expenditure on GNP at Constant Market Prices,2003Q1,Imports of Goods and Services (excluding Factor Income Flows),-29588
Expenditure on GNP at Constant Market Prices,2003Q1,Gross Domestic Product at Market Prices,42010
Expenditure on GNP at Constant Market Prices,2003Q1,Net Factor Income from the Rest of the World,-6047
Expenditure on GNP at Constant Market Prices,2003Q1,Gross National Product at Market Prices,36082
Expenditure on GNP at Constant Market Prices,2003Q1,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2003Q1,Export of Goods (excluding Factor Income Flows),17185
Expenditure on GNP at Constant Market Prices,2003Q1,Import of Goods (excluding Factor Income Flows),-13130
Expenditure on GNP at Constant Market Prices,2003Q1,Export of Services (excluding Factor Income Flows),13809
Expenditure on GNP at Constant Market Prices,2003Q1,Import of Services (excluding Factor Income Flows),-15853
Expenditure on GNP at Constant Market Prices,2003Q1,Final Domestic Demand,36668
Expenditure on GNP at Constant Market Prices,2003Q1,Total Domestic Demand,36747
Expenditure on GNP at Constant Market Prices,2003Q2,Personal Expenditure on Consumer Goods and Services,19422
Expenditure on GNP at Constant Market Prices,2003Q2,Household & NPISH Final Consumption Expenditure,18709
Expenditure on GNP at Constant Market Prices,2003Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7020
Expenditure on GNP at Constant Market Prices,2003Q2,General Government Expenditure on Goods & Services provided to Households,5148
Expenditure on GNP at Constant Market Prices,2003Q2,General Government Collective Consumption Expenditure,2578
Expenditure on GNP at Constant Market Prices,2003Q2,General Government Final Consumption Expenditure,7726
Expenditure on GNP at Constant Market Prices,2003Q2,Gross Domestic Fixed Capital Formation,9509
Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Dwellings,2501
Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Improvements,721
Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Other Building and Construction,2613
Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Transfer Costs,473
Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Machinery and Equipment,1927
Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,197
Expenditure on GNP at Constant Market Prices,2003Q2,Gross domestic fixed capital formation - Intangible Assets,1365
Expenditure on GNP at Constant Market Prices,2003Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2003Q2,Value of Physical Changes in Stocks,600
Expenditure on GNP at Constant Market Prices,2003Q2,Exports of Goods and Services (excluding Factor Income Flows),33722
Expenditure on GNP at Constant Market Prices,2003Q2,Imports of Goods and Services (excluding Factor Income Flows),-29850
Expenditure on GNP at Constant Market Prices,2003Q2,Gross Domestic Product at Market Prices,43071
Expenditure on GNP at Constant Market Prices,2003Q2,Net Factor Income from the Rest of the World,-5980
Expenditure on GNP at Constant Market Prices,2003Q2,Gross National Product at Market Prices,37263
Expenditure on GNP at Constant Market Prices,2003Q2,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2003Q2,Export of Goods (excluding Factor Income Flows),17998
Expenditure on GNP at Constant Market Prices,2003Q2,Import of Goods (excluding Factor Income Flows),-12528
Expenditure on GNP at Constant Market Prices,2003Q2,Export of Services (excluding Factor Income Flows),14494
Expenditure on GNP at Constant Market Prices,2003Q2,Import of Services (excluding Factor Income Flows),-16964
Expenditure on GNP at Constant Market Prices,2003Q2,Final Domestic Demand,36153
Expenditure on GNP at Constant Market Prices,2003Q2,Total Domestic Demand,36665
Expenditure on GNP at Constant Market Prices,2003Q3,Personal Expenditure on Consumer Goods and Services,19523
Expenditure on GNP at Constant Market Prices,2003Q3,Household & NPISH Final Consumption Expenditure,18806
Expenditure on GNP at Constant Market Prices,2003Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7323
Expenditure on GNP at Constant Market Prices,2003Q3,General Government Expenditure on Goods & Services provided to Households,5353
Expenditure on GNP at Constant Market Prices,2003Q3,General Government Collective Consumption Expenditure,2680
Expenditure on GNP at Constant Market Prices,2003Q3,General Government Final Consumption Expenditure,8033
Expenditure on GNP at Constant Market Prices,2003Q3,Gross Domestic Fixed Capital Formation,10187
Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Dwellings,2972
Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Improvements,723
Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Other Building and Construction,2825
Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Transfer Costs,618
Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Machinery and Equipment,1711
Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,260
Expenditure on GNP at Constant Market Prices,2003Q3,Gross domestic fixed capital formation - Intangible Assets,1500
Expenditure on GNP at Constant Market Prices,2003Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Constant Market Prices,2003Q3,Value of Physical Changes in Stocks,-142
Expenditure on GNP at Constant Market Prices,2003Q3,Exports of Goods and Services (excluding Factor Income Flows),34299
Expenditure on GNP at Constant Market Prices,2003Q3,Imports of Goods and Services (excluding Factor Income Flows),-30447
Expenditure on GNP at Constant Market Prices,2003Q3,Gross Domestic Product at Market Prices,42834
Expenditure on GNP at Constant Market Prices,2003Q3,Net Factor Income from the Rest of the World,-5503
Expenditure on GNP at Constant Market Prices,2003Q3,Gross National Product at Market Prices,37601
Expenditure on GNP at Constant Market Prices,2003Q3,Statistical Discrepancy,NA
Expenditure on GNP at Constant Market Prices,2003Q3,Export of Goods (excluding Factor Income Flows),18300
Expenditure on GNP at Constant Market Prices,2003Q3,Import of Goods (excluding Factor Income Flows),-12184
Expenditure on GNP at Constant Market Prices,2003Q3,Export of Services (excluding Factor Income Flows),14752
Expenditure on GNP at Constant Market Prices,2003Q3,Import of Services (excluding Factor Income Flows),-18105
Expenditure on GNP at Constant Market Prices,2003Q3,Final Domestic Demand,37241
Expenditure on GNP at Constant Market Prices,2003Q3,Total Domestic Demand,36749
Expenditure on GNP at Constant Market Prices,2003Q4,Personal Expenditure on Consumer Goods and Services,21100
Expenditure on GNP at Constant Market Prices,2003Q4,Household & NPISH Final Consumption Expenditure,20325
Expenditure on GNP at Constant Market Prices,2003Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7705
Expenditure on GNP at Constant Market Prices,2003Q4,General Government Expenditure on Goods & Services provided to Households,5646
Expenditure on GNP at Constant Market Prices,2003Q4,General Government Collective Consumption Expenditure,2827
Expenditure on GNP at Constant Market Prices,2003Q4,General Government Final Consumption Expenditure,8472
Expenditure on GNP at Constant Market Prices,2003Q4,Gross Domestic Fixed Capital Formation,11923
Expenditure on GNP at Constant Market Prices,2003Q4,Gross domestic fixed capital formation - Dwellings,2961
